SAMPN,PERNO,origin,destination
1138881,1,65485956,65326702
1139063,3,56021315,56099389
1139153,2,62525576,62385933
1139507,2,65451991,65291433
1139514,1,65337421,65303719
1139845,1,62309296,1685260148
1139845,2,62309296,62204037
1140059,1,62427891,62460843
1140059,2,62427891,62460843
1140059,3,62427891,62460843
1140059,4,62427891,62460843
1140059,5,62427891,62460843
1140321,2,2868546186,110436124
1140514,1,65322168,65295355
1140514,2,65322168,65314202
1140624,1,65473486,65350747
1140624,2,65473486,65513591
1140657,1,2322611774,2480394582
1140657,3,2322611774,65395289
1141305,1,4008988541,1723738893
1141570,1,4022970383,415194042
1141798,1,55952094,4619663121
1141856,1,65441395,65466451
1141857,1,65488329,522276506
1141857,2,65488329,400502785
1141904,1,56119445,354852517
1142183,1,5362356816,1723738831
1142789,1,314148496,1067402249
1142874,1,472347413,4303632064
1142874,2,472347413,62382161
1143181,1,35855156,209854346
1143194,1,55946253,55958530
1143194,2,55946253,55970572
1143219,1,56102132,56024738
1143233,1,1211585283,615115440
1143233,2,1211585283,258467576
1143255,1,312432798,53116963
1143505,1,4019577207,110410238
1143505,2,4019577207,110410238
1143740,1,65287332,65317532
1144036,1,3221208019,355702178
1144036,2,3221208019,298637550
1144174,1,62402595,522276506
1144231,1,65431690,2299911481
1144231,2,65431690,33372160
1144667,1,65310823,1201384590
1144667,2,65310823,3810293247
1144765,2,65433860,4167687892
1144889,1,4932181532,56129486
1144932,2,55959000,351117431
1145194,1,53045509,4911620878
1145194,2,53045509,65317957
1145199,1,258468617,65295289
1145239,1,62388215,62270963
1145353,1,65492882,667229004
1145577,1,56023169,56069721
1145588,1,878766560,4911065157
1145956,1,65441384,65469491
1146311,1,56027466,55969402
1146944,1,289662376,65419222
1147026,2,2749862434,365486290
1147026,3,2749862434,1624737795
1147026,7,2749862434,1624737795
1147147,1,62493273,62510659
1147147,2,62493273,62283264
1147205,1,65319961,65343958
1147295,2,5278666055,65447910
1147540,1,56045713,55959648
1147622,1,65365830,260494512
1147675,3,62458381,62197960
1147762,2,65392827,2460760149
1148075,1,258911619,432780750
1148430,1,110446074,110384132
1148505,4,56064771,55950091
1148828,1,306534189,1106542164
1148828,2,306534189,3523003965
1148899,1,62468235,53146091
1148911,1,56071418,345569812
1148949,1,65394503,1050206559
1149029,1,65660419,65436603
1149029,2,65660419,3678132213
1149029,3,65660419,2057287663
1149157,1,53043600,53146091
1149354,2,56116695,56042073
1149467,1,56047142,55961151
1149777,1,56037148,4499960686
1149981,1,62283749,505992294
1149981,2,62283749,62384807
1150039,2,4600803946,3696019364
1150090,2,351121725,56053514
1150189,1,65520604,65325369
1150210,2,258756003,65308413
1150277,1,65412517,559389789
1150381,2,55962593,55960585
1150476,1,53016680,65303500
1150476,2,53016680,257882618
1150549,1,65441278,26374407
1150549,2,65441278,3889910907
1150609,1,62416125,65295275
1150634,2,3585225842,461443503
1151065,1,55948494,55970572
1151065,2,55948494,4588500456
1151150,1,3461841758,32791319
1151272,1,65425861,3652090817
1151272,3,65425861,317529121
1151379,1,65445055,5057712086
1151426,1,283263289,678295796
1151647,1,65402791,4911065157
1151647,2,65402791,461443503
1151828,1,65499483,65421188
1152068,2,300750450,65303914
1152068,3,300750450,667522227
1152114,1,1925485138,283237843
1152114,3,1925485138,4200114290
1152264,2,62386481,62407530
1152641,1,65539404,1020769395
1152715,3,1003263221,53070334
1152854,1,110383584,56020515
1152854,2,110383584,2583215467
1153006,1,2710445746,55964136
1153183,1,56029750,351117462
1153205,1,55958471,1129692190
1153453,1,65433860,282409368
1153616,1,62448056,3966680292
1153616,2,62448056,2563331995
1153616,3,62448056,1261541192
1153616,4,62448056,1261541192
1153675,1,3292802508,56087150
1153748,1,65350764,65295336
1154339,1,65462909,847439828
1154384,1,289289218,57802426
1155019,1,56101434,56019180
1155019,2,56101434,56118822
1155019,3,56101434,56101434
1155019,4,56101434,56031926
1155038,1,2804606843,242578789
1155232,2,62506726,57827054
1155258,1,413802373,65434890
1155258,2,413802373,1079950185
1155425,1,33154553,4177142456
1155425,3,33154553,2230688743
1155425,4,33154553,3958397386
1155606,1,56071043,110358878
1155606,2,56071043,4018042438
1155655,2,65433267,65421721
1155655,3,65433267,261624739
1155760,1,4299452608,5243955964
1155760,2,4299452608,62382161
1155767,1,56102911,1715473141
1155767,2,56102911,56020458
1155812,1,258311096,65415719
1156034,2,65553460,2583460387
1156664,2,56146393,56020692
1156709,1,65313442,65441851
1156821,1,65460546,65513990
1156880,2,56024840,56071418
1157174,1,275568767,56074344
1157174,2,275568767,351117437
1157437,1,65520773,65607466
1157659,2,55993408,56042073
1157763,1,65332376,2328487015
1158061,1,4337564704,281363250
1158066,2,1016909017,1016952906
1158137,1,3221553172,62494400
1158137,2,3221553172,1834943159
1158177,1,56051480,56102891
1158255,1,56120101,318293406
1158841,1,62440956,62444647
1159028,2,258241546,324502941
1159124,2,4927916869,56150152
1159400,1,56131641,56006369
1159910,1,62399030,57827054
1159910,2,62399030,65432860
1160198,1,256998747,2494527789
1160198,3,256998747,65465078
1160240,2,2765426719,110422130
1160502,1,56150152,62443847
1160695,1,56057825,56142345
1160945,2,413768951,704784837
1161045,1,65430988,664251144
1161045,2,65430988,32791319
1161987,1,4000200250,2328487015
1161987,2,4000200250,4000200242
1162119,2,281149295,760439635
1162119,3,281149295,3614216337
1162138,1,65284885,65368988
1162138,2,65284885,258757618
1162368,1,306534238,33783809
1162368,2,306534238,65445384
1162676,1,65523414,3631928230
1162676,2,65523414,65523414
1162704,1,65543240,3756924095
1162757,2,5012776833,4182147571
1162803,2,1937603541,1937603541
1162811,1,65579010,65493361
1162811,2,65579010,420994162
1162897,1,2765426719,349909671
1162978,1,53064347,416339158
1163181,1,65448335,65523257
1163181,2,65448335,65414026
1163204,1,56045713,297253755
1163879,1,2389164241,2389145841
1163961,1,53074424,53098042
1163961,2,53074424,53005951
1164027,1,3741032291,343269965
1164052,2,62204037,55960841
1164087,1,65510124,65430879
1164304,1,56084783,354834803
1164369,1,110377472,1148372833
1164384,1,65620926,313113382
1164386,2,65425791,287825433
1164386,3,65425791,1021057175
1164665,1,4514842096,312443057
1164752,1,56024812,56123418
1164752,2,56024812,56020591
1164752,3,56024812,56123418
1164752,4,56024812,56035848
1164752,5,56024812,56035848
1164885,1,4184051507,30677894
1164929,4,3901576300,65493361
1165077,1,65518165,93412379
1165077,2,65518165,65401373
1165521,1,65402776,65303533
1165564,1,56034801,312963135
1165564,2,56034801,5359949609
1165648,1,53119160,2389008502
1165648,2,53119160,3244767454
1165783,1,65450920,209854346
1165783,2,65450920,522277389
1165940,1,65284716,65336938
1165984,2,56013903,56041668
1166178,1,56024840,56087150
1166231,1,65290335,4724558266
1166231,2,65290335,53090218
1166359,2,62454339,62447728
1166499,2,56122973,56030604
1166590,2,148833940,65333972
1167674,1,110396167,65303525
1167674,2,110396167,65307356
1167681,2,65295420,1723738887
1167932,1,2820169753,32972213
1167932,2,2820169753,1511349597
1168011,2,5168716573,55986651
1168201,2,56119445,56034775
1168404,1,65451313,257938654
1168404,3,65451313,65417730
1168404,4,65451313,1708555274
1168404,5,65451313,65391785
1168452,1,56033376,65284619
1168673,1,53085382,53085388
1168673,2,53085382,95227179
1168906,2,62221405,4356268163
1169010,2,65546714,3523003962
1169017,1,65501665,522276506
1169017,2,65501665,65308283
1169021,1,359030879,65313138
1169021,2,359030879,65495714
1169219,1,65295420,65295281
1169372,1,65391144,663151605
1169372,2,65391144,1588932881
1169464,1,331115181,301503404
1169464,3,331115181,419482224
1169868,2,62454339,62506726
1169976,1,274477423,1673022756
1170324,2,65333932,65290249
1170408,1,65427910,431951982
1170713,1,56034801,56058042
1170713,2,56034801,110355964
1170713,3,56034801,56034775
1170729,1,3394771782,209854346
1171111,1,5372825584,53046805
1171111,2,5372825584,65649886
1171301,1,65439590,242856863
1171301,2,65439590,207640216
1171428,1,65441519,65551296
1171428,4,65441519,65500363
1171474,1,4926409303,56073607
1171474,2,4926409303,56046736
1171584,1,57791514,4226091911
1171619,1,2059143965,56071418
1171619,2,2059143965,56090182
1171825,1,1829965997,1720016835
1171838,1,1097542300,4944392361
1172272,1,541338643,461443503
1172515,1,65419441,65608960
1172515,2,65419441,3710193384
1172515,3,65419441,65419441
1172515,4,65419441,65419441
1172515,5,65419441,665697587
1172549,1,682856862,4312164801
1172549,2,682856862,65290286
1172554,1,62305880,257532281
1172554,2,62305880,257532281
1172814,1,65327923,65317542
1172814,3,65327923,1211585283
1172814,4,65327923,65334473
1172818,1,53014699,53077118
1172835,1,276549440,1511349597
1173264,1,55951810,55963641
1173654,1,53090683,2389134462
1173654,2,53090683,237134303
1173657,1,65458539,3958397386
1173669,1,56031956,354852517
1173852,1,65614351,1105792719
1174315,1,56055252,55991364
1174756,1,267456161,687817976
1175115,1,5037571380,65295289
1175159,1,53077197,2379568312
1175159,2,53077197,65440483
1175219,1,53085049,53146091
1175304,1,53027742,1511349597
1175304,2,53027742,65295355
1175309,1,53069940,439070580
1175416,1,53142806,564721364
1175416,2,53142806,53063053
1175484,2,53026828,65352485
1176070,1,53047205,65414026
1176456,1,3958397388,53035930
1176852,1,53090670,1091823033
1176923,2,1090478795,5354851404
1176951,2,53149833,1676258665
1177174,1,660037296,522277438
1177229,1,53088957,434788727
1177229,2,53088957,522277389
1177496,2,1372725050,53046805
1177563,1,3969493056,65416063
1177600,1,4445061359,3219700404
1177600,2,4445061359,300759006
1177831,1,53074427,53118436
1177923,1,53147942,53087541
1177977,1,4179101911,65534618
1177977,2,4179101911,577478783
1178232,1,53072969,4000470397
1178232,2,53072969,4169958757
1178232,3,53072969,3958379221
1178633,1,53019306,53093183
1178677,2,53130151,65309522
1179163,1,53060659,240448958
1179400,1,53047928,258756009
1179400,2,53047928,3810293247
1179431,1,53123990,53046431
1179431,2,53123990,53055202
1179438,1,3126825706,3244767454
1179438,2,3126825706,370473679
1179615,1,890203015,65324601
1179615,2,890203015,4177254255
1179644,1,1212610952,603229293
1179689,1,53021427,65345359
1179689,2,53021427,506458647
1179881,2,53070334,240448964
1180096,1,249925120,2681069680
1180182,1,243673125,2278881212
1180578,1,53055195,53029727
1180584,1,239617025,53055202
1182718,2,1666841964,33155441
1182718,3,1666841964,65295279
1182718,4,1666841964,1080041771
1185267,1,356379113,305467757
1185393,1,2565675294,353122506
